name,gender
nirmala,f
ankita singh,f
smt. savita,f
shima,f
smt ganga,f
smt sanju,f
sonu,f
saaniya,f
pratibha,f
dixya kanwar,f
sapna,f
raminder kaur,f
monika,f
aaysha,f
sikha,f
kajal,f
ragni,f
rachna,f
gurpreet,f
nena,f
bimla,f
aaysha,f
anju naagar,f
gaytri devi,f
rani,f
preeti,f
shiwani,f
kusum,f
rita devi,f
radha,f
manju,f
deepanshi,f
narbda,f
neetu,f
ganga,f
mamta,f
asmit kaur,f
kumari reshma,f
pinki,f
preti,f
priti,f
puja,f
kanta,f
sima,f
eshavarya @ prachi,f
komal,f
bhawna,f
sapna,f
anarkali,f
rajni,f
sunita,f
manlisa bairwa,f
afarin,f
bhagya shree,f
komal,f
afsana,f
alema,f
kajal,f
sudha,f
risabh,f
bhumika,f
babita,f
paro,f
pinky,f
ritu,f
sapana sharma,f
chandra,f
muskan,f
bhawana,f
shivani,f
ambika panwan,f
monika,f
yashmin,f
rachna,f
heena,f
lalita,f
bhagwati,f
reena,f
manisha,f
kusum,f
sumalia,f
soniya,f
reetima,f
dharma devi,f
manju,f
shanti devi,f
neha,f
sunita,f
mamta jha,f
sangeeta,f
anju,f
joyti sharma,f
hadisha,f
suhani singhal,f
meenu,f
pooja,f
deepika,f
sangeeta devi,f
rupa,f
barti,f
poonam sharma,f
onginye gift okofor,f
vimla,f
reenu,f
yashoda,f
kumari manjeet,f
anju devi,f
sharda,f
nazahat,f
neelam,f
smt. shakuntala,f
asha & harshita,f
nency,f
chanderkala,f
mamta negi,f
kawal kumari,f
lad bai,f
bhawna,f
farzana,f
sarika panjawani,f
gudiya,f
smt kamlesh,f
durgesh,f
jyoti,f
sanna,f
vineta,f
varsha,f
muskan,f
sonam,f
anita with her 2 children namely ramesh and siraj,f
vinita,f
kishmat,f
sunita,f
smt salina @ shasina,f
komal,f
vimla devi @ rani,f
anjali @ nanu,f
tamnna,f
kiran thapa,f
nishu,f
bharti,f
lakshmi,f
shilpa,f
laxmi,f
sarita devi,f
ishika,f
priya rawat,f
barkha,f
kajal,f
gulshtab,f
suchitra,f
saira bano,f
durga kumari,f
rajkumari,f
geeta,f
pooja,f
kajal @ sunita,f
nikky singh,f
smt asha,f
sabana bano urf baiesa,f
pooja,f
dhakhadevi,f
smt. sita,f
rakhi,f
ambiya,f
jyoti @ gudya,f
premwati,f
premwati,f
pooja,f
pinki,f
nisha,f
miss kanika,f
nargis,f
preeti devi,f
aarti,f
kajal,f
deepali,f
sushila,f
ranjana mukharji,f
k munni rab,f
sonali,f
amuda,f
shakeena,f
khairu nisha,f
sushila,f
mamata,f
renu,f
pinki,f
resham,f
kumari nenu,f
kanchan balai,f
sonaki devi,f
shila devi,f
smt. krishana devi,f
smt. resham,f
sudama,f
pooga,f
alahbasri,f
ajmeri jaysmin,f
jyoti,f
preeti,f
krishana bhandari,f
anita,f
arti,f
sangeeta kumari,f
karamjeet,f
rajkumari,f
smt ruby devi,f
ku rube,f
hina,f
suman,f
kajal,f
shivani,f
samreen,f
deepika sharma,f
varsha garg @ hunny m.no.-8901040854,f
gaytri bai,f
suman,f
partibha,f
renu,f
sashi kala,f
rajshree,f
sitra,f
laxmi,f
kumkum,f
sano devi,f
aditi,f
similata,f
sadhna @ sabi,f
rekha harijan,f
jyoti,f
raveena,f
fareena,f
farina,f
roshni,f
beena,f
sumentra,f
kumari sahista,f
manju,f
nanda devi,f
soniya,f
durga,f
mukti,f
manju,f
poga,f
gulsana,f
annu,f
manjeet,f
bhatari,f
rubi,f
soni,f
monika,f
niranjan,f
arti,f
shahnaz,f
deepti,f
arati,f
nikita,f
suman,f
pooja soni,f
reena,f
shikha,f
soniya,f
shiwani,f
madhu,f
komal,f
sunita,f
roshan aara begam,f
neha,f
neha,f
yashika,f
roshanara begam,f
rinku d/o harvir singh,f
meenu,f
nasim,f
smt. kushma devi,f
pushpa devi,f
shiba,f
pavi,f
sunita,f
varsha,f
sheela,f
anjali,f
gulfsa,f
mona,f
kherul nisha,f
hina parvin,f
jyoti,f
pooja,f
rozi,f
suman,f
preeti,f
sanju bai,f
garima,f
pooja handa,f
ashra kaushar,f
shabana begam,f
anjum,f
anuradha,f
aarti,f
reena,f
smt sushma,f
arzoo,f
shiva bai,f
sapna,f
huseni bano,f
sonu,f
smt.sehran,f
kajal,f
niru,f
maya,f
khusboo,f
raveena,f
rachna,f
rinesh,f
meenu bahadur,f
kumari sanju,f
harmit kor,f
reena,f
pooja,f
geeta rani barman,f
